time,P
20230121:0510,0.0
20230121:0610,0.0
20230121:0710,0.0
20230121:0810,131.23
20230121:0910,321.76
20230121:1010,466.16
20230121:1110,573.54
20230121:1210,606.54
20230121:1310,518.77
20230121:1410,498.94
20230121:1510,348.15
20230121:1610,129.89
20230121:1710,0.0
20230121:1810,0.0
20230121:1910,0.0
20230121:2010,0.0
20230121:2110,0.0
20230121:2210,0.0
20230121:2310,0.0
20230122:0010,0.0
20230122:0110,0.0
20230122:0210,0.0
20230122:0310,0.0
20230122:0410,0.0
20230122:0510,0.0
20230122:0610,0.0
20230122:0710,0.0
20230122:0810,130.3
20230122:0910,322.08
20230122:1010,472.88
20230122:1110,573.5
20230122:1210,598.9
20230122:1310,574.96
20230122:1410,487.83
20230122:1510,359.59
20230122:1610,139.11
20230122:1710,0.0
20230122:1810,0.0
20230122:1910,0.0
20230122:2010,0.0
20230122:2110,0.0
20230122:2210,0.0
20230122:2310,0.0
20230123:0010,0.0
20230123:0110,0.0
20230123:0210,0.0
20230123:0310,0.0
20230123:0410,0.0
20230123:0510,0.0
20230123:0610,0.0
20230123:0710,0.0
20230123:0810,127.62
20230123:0910,236.41
20230123:1010,462.31
20230123:1110,553.04
20230123:1210,568.62
20230123:1310,468.89
20230123:1410,308.05
20230123:1510,360.88
20230123:1610,140.39
20230123:1710,0.0
20230123:1810,0.0
20230123:1910,0.0
20230123:2010,0.0
20230123:2110,0.0
20230123:2210,0.0
20230123:2310,0.0
20230124:0010,0.0
20230124:0110,0.0
20230124:0210,0.0
20230124:0310,0.0
20230124:0410,0.0
20230124:0510,0.0
20230124:0610,0.0
20230124:0710,0.0
20230124:0810,43.87
20230124:0910,157.86
20230124:1010,93.08
20230124:1110,57.21
20230124:1210,107.56
20230124:1310,105.07
20230124:1410,70.26
20230124:1510,66.94
20230124:1610,24.38
20230124:1710,0.0
20230124:1810,0.0
20230124:1910,0.0
20230124:2010,0.0
20230124:2110,0.0
20230124:2210,0.0
20230124:2310,0.0
20230125:0010,0.0
20230125:0110,0.0
20230125:0210,0.0
20230125:0310,0.0
20230125:0410,0.0
20230125:0510,0.0
20230125:0610,0.0
20230125:0710,0.0
20230125:0810,127.87
20230125:0910,334.57
20230125:1010,467.88
20230125:1110,558.17
20230125:1210,583.96
20230125:1310,558.11
20230125:1410,480.6
20230125:1510,343.64
20230125:1610,144.5
20230125:1710,0.0
20230125:1810,0.0
20230125:1910,0.0
20230125:2010,0.0
20230125:2110,0.0
20230125:2210,0.0
20230125:2310,0.0
20230126:0010,0.0
20230126:0110,0.0
20230126:0210,0.0
20230126:0310,0.0
20230126:0410,0.0
20230126:0510,0.0
20230126:0610,0.0
20230126:0710,0.0
20230126:0810,133.33
20230126:0910,318.55
20230126:1010,463.44
20230126:1110,551.9
20230126:1210,593.27
20230126:1310,565.25
20230126:1410,484.99
20230126:1510,301.81
20230126:1610,162.26
20230126:1710,0.0
20230126:1810,0.0
20230126:1910,0.0
20230126:2010,0.0
20230126:2110,0.0
20230126:2210,0.0
20230126:2310,0.0
20230127:0010,0.0
20230127:0110,0.0
20230127:0210,0.0
20230127:0310,0.0
20230127:0410,0.0
20230127:0510,0.0
20230127:0610,0.0
20230127:0710,0.0
20230127:0810,137.16
20230127:0910,211.56
20230127:1010,441.74
20230127:1110,538.02
20230127:1210,561.82
20230127:1310,496.95
20230127:1410,394.21
20230127:1510,294.75
20230127:1610,44.91
20230127:1710,0.0
20230127:1810,0.0
20230127:1910,0.0
20230127:2010,0.0
20230127:2110,0.0
20230127:2210,0.0
20230127:2310,0.0
20230128:0010,0.0
20230128:0110,0.0
20230128:0210,0.0
20230128:0310,0.0
20230128:0410,0.0
20230128:0510,0.0
20230128:0610,0.0
20230128:0710,0.0
20230128:0810,90.07
20230128:0910,221.23
20230128:1010,306.76
20230128:1110,424.07
20230128:1210,573.82
20230128:1310,442.29
20230128:1410,257.28
20230128:1510,192.86
20230128:1610,18.82
20230128:1710,0.0
20230128:1810,0.0
20230128:1910,0.0
20230128:2010,0.0
20230128:2110,0.0
20230128:2210,0.0
20230128:2310,0.0
20230129:0010,0.0
20230129:0110,0.0
20230129:0210,0.0
20230129:0310,0.0
20230129:0410,0.0
20230129:0510,0.0
20230129:0610,0.0
20230129:0710,0.0
20230129:0810,137.64
20230129:0910,324.67
20230129:1010,492.29
20230129:1110,576.83
20230129:1210,597.98
20230129:1310,575.32
20230129:1410,498.41
20230129:1510,361.99
20230129:1610,158.75
20230129:1710,0.0
20230129:1810,0.0
20230129:1910,0.0
20230129:2010,0.0
20230129:2110,0.0
20230129:2210,0.0
20230129:2310,0.0
20230130:0010,0.0
20230130:0110,0.0
20230130:0210,0.0
20230130:0310,0.0
20230130:0410,0.0
20230130:0510,0.0
20230130:0610,0.0
20230130:0710,0.0
20230130:0810,144.44
20230130:0910,338.32
20230130:1010,488.94
20230130:1110,584.54
20230130:1210,614.22
20230130:1310,598.48
20230130:1410,508.86
20230130:1510,294.71
20230130:1610,176.51
20230130:1710,0.0
20230130:1810,0.0
20230130:1910,0.0
20230130:2010,0.0
20230130:2110,0.0
20230130:2210,0.0
20230130:2310,0.0
20230131:0010,0.0
20230131:0110,0.0
20230131:0210,0.0
20230131:0310,0.0
20230131:0410,0.0
20230131:0510,0.0
20230131:0610,0.0
20230131:0710,0.0
20230131:0810,145.26
20230131:0910,334.24
20230131:1010,481.38
20230131:1110,560.19
20230131:1210,585.53
20230131:1310,576.7
20230131:1410,503.53
20230131:1510,372.13
20230131:1610,169.44
20230131:1710,0.0
20230131:1810,0.0
20230131:1910,0.0
20230131:2010,0.0
20230131:2110,0.0
20230131:2210,0.0
20230131:2310,0.0
20230201:0010,0.0
20230201:0110,0.0
20230201:0210,0.0
20230201:0310,0.0
20230201:0410,0.0
20230201:0510,0.0
20230201:0610,0.0
20230201:0710,0.0
20230201:0810,139.07
20230201:0910,324.15
20230201:1010,467.38
20230201:1110,555.48
20230201:1210,568.41
20230201:1310,562.17
20230201:1410,490.06
20230201:1510,362.62
20230201:1610,164.85
20230201:1710,0.0
20230201:1810,0.0
20230201:1910,0.0
20230201:2010,0.0
20230201:2110,0.0
20230201:2210,0.0
20230201:2310,0.0
20230202:0010,0.0
20230202:0110,0.0
20230202:0210,0.0
20230202:0310,0.0
20230202:0410,0.0
20230202:0510,0.0
20230202:0610,0.0
20230202:0710,0.0
20230202:0810,145.78
20230202:0910,330.33
20230202:1010,478.12
20230202:1110,566.77
20230202:1210,583.95
20230202:1310,566.38
20230202:1410,488.21
20230202:1510,363.61
20230202:1610,170.29
20230202:1710,0.0
20230202:1810,0.0
20230202:1910,0.0
20230202:2010,0.0
20230202:2110,0.0
20230202:2210,0.0
20230202:2310,0.0
20230203:0010,0.0
20230203:0110,0.0
20230203:0210,0.0
20230203:0310,0.0
20230203:0410,0.0
20230203:0510,0.0
20230203:0610,0.0
20230203:0710,0.0
20230203:0810,150.01
20230203:0910,334.11
20230203:1010,478.96
20230203:1110,560.03
20230203:1210,577.7
20230203:1310,572.47
20230203:1410,496.33
20230203:1510,372.34
20230203:1610,176.4
20230203:1710,0.0
20230203:1810,0.0
20230203:1910,0.0
20230203:2010,0.0
20230203:2110,0.0
20230203:2210,0.0
20230203:2310,0.0
20230204:0010,0.0
20230204:0110,0.0
20230204:0210,0.0
20230204:0310,0.0
20230204:0410,0.0
20230204:0510,0.0
20230204:0610,0.0
20230204:0710,0.0
20230204:0810,152.73
20230204:0910,330.42
20230204:1010,479.9
20230204:1110,578.65
20230204:1210,595.5
20230204:1310,566.34
20230204:1410,497.16
20230204:1510,372.03
20230204:1610,180.68
20230204:1710,0.0
20230204:1810,0.0
20230204:1910,0.0
20230204:2010,0.0
20230204:2110,0.0
20230204:2210,0.0
20230204:2310,0.0
20230205:0010,0.0
20230205:0110,0.0
20230205:0210,0.0
20230205:0310,0.0
20230205:0410,0.0
20230205:0510,0.0
20230205:0610,0.0
20230205:0710,0.0
20230205:0810,154.92
20230205:0910,342.32
20230205:1010,484.42
20230205:1110,562.1
20230205:1210,601.65
20230205:1310,583.22
20230205:1410,513.04
20230205:1510,379.41
20230205:1610,189.36
20230205:1710,0.0
20230205:1810,0.0
20230205:1910,0.0
20230205:2010,0.0
20230205:2110,0.0
20230205:2210,0.0
20230205:2310,0.0
20230206:0010,0.0
20230206:0110,0.0
20230206:0210,0.0
20230206:0310,0.0
20230206:0410,0.0
20230206:0510,0.0
20230206:0610,0.0
20230206:0710,0.0
20230206:0810,156.03
20230206:0910,311.91
20230206:1010,365.71
20230206:1110,356.66
20230206:1210,250.38
20230206:1310,416.5
20230206:1410,125.95
20230206:1510,312.42
20230206:1610,82.43
20230206:1710,0.0
20230206:1810,0.0
20230206:1910,0.0
20230206:2010,0.0
20230206:2110,0.0
20230206:2210,0.0
20230206:2310,0.0
20230207:0010,0.0
20230207:0110,0.0
20230207:0210,0.0
20230207:0310,0.0
20230207:0410,0.0
20230207:0510,0.0
20230207:0610,0.0
20230207:0710,0.0
20230207:0810,62.21
20230207:0910,102.68
20230207:1010,110.64
20230207:1110,59.98
20230207:1210,71.53
20230207:1310,50.38
20230207:1410,71.25
20230207:1510,30.17
20230207:1610,38.41
20230207:1710,0.0
20230207:1810,0.0
20230207:1910,0.0
20230207:2010,0.0
20230207:2110,0.0
20230207:2210,0.0
20230207:2310,0.0
20230208:0010,0.0
20230208:0110,0.0
20230208:0210,0.0
20230208:0310,0.0
20230208:0410,0.0
20230208:0510,0.0
20230208:0610,0.0
20230208:0710,0.0
20230208:0810,156.31
20230208:0910,241.46
20230208:1010,492.06
20230208:1110,376.9
20230208:1210,466.33
20230208:1310,180.4
20230208:1410,130.36
20230208:1510,256.27
20230208:1610,209.26
20230208:1710,0.0
20230208:1810,0.0
20230208:1910,0.0
20230208:2010,0.0
20230208:2110,0.0
20230208:2210,0.0
20230208:2310,0.0
20230209:0010,0.0
20230209:0110,0.0
20230209:0210,0.0
20230209:0310,0.0
20230209:0410,0.0
